model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Last Value,Y14743,23.47,21.76,3280.0,0,Industry
Mean Value,Y14743,35.17,28.2,4599.18,0,Industry
Random Walk,Y14743,31.57,26.8,3399.67,0,Industry
Arima,Y14743,21.62,21.06,3037.87,0,Industry
Theta,Y14743,75.5,53.85,8028.0,0,Industry
Prophet,Y14743,22.33,26.6,3200.45,0,Industry
Last Value,Y14744,25.98,33.82,23092.7,0,Industry
Mean Value,Y14744,123.22,75.6,74772.39,0,Industry
Random Walk,Y14744,24.86,27.8,21446.3,0,Industry
Arima,Y14744,27.25,32.83,24221.81,0,Industry
Theta,Y14744,92.7,59.16,63202.0,0,Industry
Prophet,Y14744,49.32,40.34,41168.28,0,Industry
Last Value,Y14745,18.9,22.34,1716.95,0,Industry
Mean Value,Y14745,38.21,49.45,4025.92,0,Industry
Random Walk,Y14745,23.64,28.08,2107.36,0,Industry
Arima,Y14745,25.67,31.88,2478.64,0,Industry
Theta,Y14745,32.43,40.87,3280.97,0,Industry
Prophet,Y14745,12.14,12.85,1058.07,0,Industry
Last Value,Y14746,15.75,14.35,8410.85,0,Industry
Mean Value,Y14746,7.84,7.8,4426.95,0,Industry
Random Walk,Y14746,14.42,13.04,7691.67,0,Industry
Arima,Y14746,9.33,8.58,5200.1,0,Industry
Theta,Y14746,39.82,32.31,18283.97,0,Industry
Prophet,Y14746,7.97,7.46,4501.41,0,Industry
Last Value,Y14747,15.72,14.09,6683.0,0,Industry
Mean Value,Y14747,21.93,19.29,8956.31,0,Industry
Random Walk,Y14747,11.83,11.08,4121.28,0,Industry
Arima,Y14747,20.19,17.92,8326.84,0,Industry
Theta,Y14747,33.44,41.35,16812.0,0,Industry
Prophet,Y14747,17.44,15.54,7324.37,0,Industry
Last Value,Y14748,34.33,46.45,4572.9,0,Industry
Mean Value,Y14748,34.64,41.74,4572.9,0,Industry
Random Walk,Y14748,41.17,63.59,5306.99,0,Industry
Arima,Y14748,35.12,50.0,4737.07,0,Industry
Theta,Y14748,81.93,170.96,18144.8,0,Industry
Prophet,Y14748,57.48,101.95,10028.97,0,Industry
Last Value,Y14749,12.22,11.75,5331.9,0,Industry
Mean Value,Y14749,14.49,16.43,6629.61,0,Industry
Random Walk,Y14749,21.4,19.49,8888.47,0,Industry
Arima,Y14749,10.3,10.15,4511.93,0,Industry
Theta,Y14749,9.04,9.29,3945.5,0,Industry
Prophet,Y14749,14.21,16.08,6484.82,0,Industry
Last Value,Y14750,59.92,118.67,12371.7,0,Industry
Mean Value,Y14750,60.09,119.89,12442.54,0,Industry
Random Walk,Y14750,57.74,110.53,10950.69,0,Industry
Arima,Y14750,60.43,122.35,12586.8,0,Industry
Theta,Y14750,126.73,93.82,10887.2,0,Industry
Prophet,Y14750,60.59,84.61,10764.63,0,Industry
Last Value,Y14751,6.6,6.25,2733.0,0,Industry
Mean Value,Y14751,10.25,9.63,4140.67,0,Industry
Random Walk,Y14751,6.73,6.51,2481.88,0,Industry
Arima,Y14751,5.9,5.68,2417.41,0,Industry
Theta,Y14751,9.13,8.6,3590.0,0,Industry
Prophet,Y14751,6.68,6.34,2763.98,0,Industry
Last Value,Y14752,14.54,16.08,3520.0,0,Industry
Mean Value,Y14752,10.02,10.62,2346.67,0,Industry
Random Walk,Y14752,29.41,35.75,7951.23,0,Industry
Arima,Y14752,8.3,8.32,1930.28,0,Industry
Theta,Y14752,53.5,76.55,17230.0,0,Industry
Prophet,Y14752,12.84,11.8,2838.72,0,Industry
Last Value,Y14753,23.0,19.56,4042.0,0,Industry
Mean Value,Y14753,17.18,19.02,3173.89,0,Industry
Random Walk,Y14753,27.13,22.44,4639.85,0,Industry
Arima,Y14753,23.61,20.07,4130.97,0,Industry
Theta,Y14753,14.57,16.41,1946.0,0,Industry
Prophet,Y14753,17.42,17.73,3202.15,0,Industry
Last Value,Y14754,8.07,7.55,1365.0,0,Industry
Mean Value,Y14754,19.49,21.94,3635.67,0,Industry
Random Walk,Y14754,15.63,13.73,2266.66,0,Industry
Arima,Y14754,10.9,10.13,1803.35,0,Industry
Theta,Y14754,43.75,56.47,9497.0,0,Industry
Prophet,Y14754,43.72,35.47,6075.64,0,Industry
Last Value,Y14755,7.45,7.14,606.5,0,Industry
Mean Value,Y14755,5.56,5.37,457.83,0,Industry
Random Walk,Y14755,6.7,6.45,547.76,0,Industry
Arima,Y14755,7.14,6.86,582.2,0,Industry
Theta,Y14755,2.59,2.56,205.7,0,Industry
Prophet,Y14755,11.17,10.54,891.03,0,Industry
Last Value,Y14756,79.76,56.36,9200.0,0,Industry
Mean Value,Y14756,16.53,20.39,2522.22,0,Industry
Random Walk,Y14756,57.26,43.96,6987.66,0,Industry
Arima,Y14756,53.24,40.75,6718.85,0,Industry
Theta,Y14756,27.88,33.55,4600.0,0,Industry
Prophet,Y14756,22.72,22.21,3281.66,0,Industry
Last Value,Y14757,55.54,86.06,20400.0,0,Industry
Mean Value,Y14757,51.91,78.64,18466.67,0,Industry
Random Walk,Y14757,64.12,100.71,25282.78,0,Industry
Arima,Y14757,57.89,90.97,21698.64,0,Industry
Theta,Y14757,177.78,243.26,61800.0,0,Industry
Prophet,Y14757,83.81,161.53,39875.37,0,Industry
Last Value,Y14758,57.04,42.82,16554.4,0,Industry
Mean Value,Y14758,35.5,47.21,13460.28,0,Industry
Random Walk,Y14758,123.35,85.06,34322.61,0,Industry
Arima,Y14758,76.44,54.32,20223.21,0,Industry
Theta,Y14758,75.05,121.93,40457.9,0,Industry
Prophet,Y14758,26.46,22.93,8462.24,0,Industry
Last Value,Y14759,2.2,2.24,1234.42,0,Industry
Mean Value,Y14759,37.55,31.6,17823.53,0,Industry
Random Walk,Y14759,5.27,5.25,2581.56,0,Industry
Arima,Y14759,2.4,2.45,1321.32,0,Industry
Theta,Y14759,30.91,26.56,14897.39,0,Industry
Prophet,Y14759,3.81,3.72,1249.82,0,Industry
Last Value,Y14760,13.53,13.29,3608.0,0,Industry
Mean Value,Y14760,49.82,39.29,10836.86,0,Industry
Random Walk,Y14760,16.41,15.07,3424.43,0,Industry
Arima,Y14760,15.21,14.0,4027.46,0,Industry
Theta,Y14760,141.36,82.74,21912.0,0,Industry
Prophet,Y14760,23.67,27.47,6697.42,0,Industry
Last Value,Y14761,31.85,27.1,21801.04,0,Industry
Mean Value,Y14761,60.23,46.06,36395.54,0,Industry
Random Walk,Y14761,33.55,28.29,22775.7,0,Industry
Arima,Y14761,31.37,26.75,21524.15,0,Industry
Theta,Y14761,45.3,36.7,28346.87,0,Industry
Prophet,Y14761,28.31,24.56,19677.09,0,Industry
Last Value,Y14762,6.81,6.69,1120.0,0,Industry
Mean Value,Y14762,44.2,36.08,5982.86,0,Industry
Random Walk,Y14762,12.47,13.11,2079.76,0,Industry
Arima,Y14762,12.02,11.3,1672.04,0,Industry
Theta,Y14762,148.16,93.52,15000.0,0,Industry
Prophet,Y14762,10.05,9.42,1618.3,0,Industry
Last Value,Y14763,25.44,22.19,17900.0,0,Industry
Mean Value,Y14763,86.81,60.41,47225.52,0,Industry
Random Walk,Y14763,49.93,37.73,30848.55,0,Industry
Arima,Y14763,13.77,12.77,8062.06,0,Industry
Theta,Y14763,140.12,82.32,64130.0,0,Industry
Prophet,Y14763,14.39,13.37,7893.7,0,Industry
Last Value,Y14764,7.67,8.07,3643.11,0,Industry
Mean Value,Y14764,22.17,25.18,11547.37,0,Industry
Random Walk,Y14764,9.7,10.44,4669.44,0,Industry
Arima,Y14764,8.35,8.85,3984.85,0,Industry
Theta,Y14764,44.53,57.63,26642.03,0,Industry
Prophet,Y14764,36.88,30.85,14511.13,0,Industry
Last Value,Y14765,17.13,15.46,6923.96,0,Industry
Mean Value,Y14765,51.54,40.8,17724.12,0,Industry
Random Walk,Y14765,20.93,18.47,8276.72,0,Industry
Arima,Y14765,17.57,15.84,7086.55,0,Industry
Theta,Y14765,62.37,47.13,20539.76,0,Industry
Prophet,Y14765,35.68,30.12,13127.22,0,Industry
Last Value,Y14766,3.04,3.06,476.26,0,Industry
Mean Value,Y14766,11.02,11.73,1819.74,0,Industry
Random Walk,Y14766,4.76,4.74,533.13,0,Industry
Arima,Y14766,8.93,8.44,1347.83,0,Industry
Theta,Y14766,31.31,29.2,4433.93,0,Industry
Prophet,Y14766,14.29,13.1,2088.85,0,Industry
Last Value,Y14767,10.97,11.83,1850.0,0,Industry
Mean Value,Y14767,34.96,42.68,6832.07,0,Industry
Random Walk,Y14767,16.59,18.71,2926.26,0,Industry
Arima,Y14767,5.29,5.31,849.33,0,Industry
Theta,Y14767,79.21,139.92,22310.0,0,Industry
Prophet,Y14767,4.59,4.46,584.39,0,Industry
Last Value,Y14768,3.57,3.64,948.9,0,Industry
Mean Value,Y14768,7.1,6.86,1790.74,0,Industry
Random Walk,Y14768,8.54,8.07,2103.34,0,Industry
Arima,Y14768,3.11,3.16,824.53,0,Industry
Theta,Y14768,34.21,28.85,7529.1,0,Industry
Prophet,Y14768,10.67,11.29,2945.95,0,Industry
Last Value,Y14769,10.9,11.61,776.92,0,Industry
Mean Value,Y14769,4.06,3.93,274.16,0,Industry
Random Walk,Y14769,11.95,12.77,861.64,0,Industry
Arima,Y14769,10.57,11.25,752.17,0,Industry
Theta,Y14769,26.46,23.33,1589.14,0,Industry
Prophet,Y14769,11.71,12.57,839.41,0,Industry
Last Value,Y14770,2.3,2.27,560.0,0,Industry
Mean Value,Y14770,17.76,16.29,3988.07,0,Industry
Random Walk,Y14770,6.94,6.62,1636.71,0,Industry
Arima,Y14770,1.75,1.73,426.13,0,Industry
Theta,Y14770,47.28,37.66,9248.0,0,Industry
Prophet,Y14770,1.32,1.33,207.44,0,Industry
Last Value,Y14771,2.9,2.96,433.14,0,Industry
Mean Value,Y14771,13.4,12.53,1873.49,0,Industry
Random Walk,Y14771,4.06,3.97,387.56,0,Industry
Arima,Y14771,6.24,6.52,953.77,0,Industry
Theta,Y14771,21.4,18.99,2855.12,0,Industry
Prophet,Y14771,9.0,9.56,1400.45,0,Industry
Last Value,Y14772,27.44,24.08,10190.0,0,Industry
Mean Value,Y14772,48.19,38.8,16378.18,0,Industry
Random Walk,Y14772,25.32,22.3,9478.11,0,Industry
Arima,Y14772,26.85,23.62,9994.96,0,Industry
Theta,Y14772,89.62,61.65,26030.0,0,Industry
Prophet,Y14772,43.62,35.78,15103.94,0,Industry
Last Value,Y14773,4.02,4.14,1701.0,0,Industry
Mean Value,Y14773,24.13,21.5,9026.16,0,Industry
Random Walk,Y14773,4.96,5.13,2053.24,0,Industry
Arima,Y14773,10.76,11.52,4767.81,0,Industry
Theta,Y14773,51.27,40.79,17090.0,0,Industry
Prophet,Y14773,5.05,5.17,1997.81,0,Industry
Last Value,Y14774,9.42,8.94,1326.7,0,Industry
Mean Value,Y14774,29.72,25.84,3800.54,0,Industry
Random Walk,Y14774,12.11,11.27,1673.83,0,Industry
Arima,Y14774,12.29,11.51,1705.89,0,Industry
Theta,Y14774,96.56,62.27,9213.1,0,Industry
Prophet,Y14774,3.3,3.38,317.47,0,Industry
Last Value,Y14775,16.85,15.35,5543.0,0,Industry
Mean Value,Y14775,44.48,36.27,12861.34,0,Industry
Random Walk,Y14775,17.09,15.54,5615.72,0,Industry
Arima,Y14775,10.67,10.05,3130.39,0,Industry
Theta,Y14775,62.81,47.73,16862.0,0,Industry
Prophet,Y14775,10.6,10.03,2626.89,0,Industry
Last Value,Y14776,12.98,12.0,1663.0,0,Industry
Mean Value,Y14776,46.28,37.47,5065.0,0,Industry
Random Walk,Y14776,20.18,17.89,2474.45,0,Industry
Arima,Y14776,5.27,5.09,563.98,0,Industry
Theta,Y14776,64.77,48.87,6583.0,0,Industry
Prophet,Y14776,4.29,4.19,323.71,0,Industry
Last Value,Y14777,4.41,4.24,2619.9,0,Industry
Mean Value,Y14777,6.69,6.37,3897.7,0,Industry
Random Walk,Y14777,1.96,1.96,1111.76,0,Industry
Arima,Y14777,4.4,4.23,2615.25,0,Industry
Theta,Y14777,15.4,14.26,8530.9,0,Industry
Prophet,Y14777,6.34,6.01,3706.73,0,Industry
Last Value,Y14778,11.01,10.26,920.0,0,Industry
Mean Value,Y14778,41.27,34.1,2976.55,0,Industry
Random Walk,Y14778,3.38,3.29,290.13,0,Industry
Arima,Y14778,5.86,5.62,494.41,0,Industry
Theta,Y14778,54.02,42.27,3650.0,0,Industry
Prophet,Y14778,9.81,9.24,689.1,0,Industry
Last Value,Y14779,16.89,15.47,9960.0,0,Industry
Mean Value,Y14779,60.09,46.16,29387.59,0,Industry
Random Walk,Y14779,30.46,25.79,16703.19,0,Industry
Arima,Y14779,8.36,7.99,3566.88,0,Industry
Theta,Y14779,97.5,65.51,41550.0,0,Industry
Prophet,Y14779,9.3,8.85,3570.1,0,Industry
Last Value,Y14780,9.88,9.29,1273.45,0,Industry
Mean Value,Y14780,41.42,34.22,4583.49,0,Industry
Random Walk,Y14780,13.12,12.07,1639.26,0,Industry
Arima,Y14780,8.96,8.48,1160.96,0,Industry
Theta,Y14780,52.19,41.01,5453.59,0,Industry
Prophet,Y14780,10.21,9.6,1250.31,0,Industry
Last Value,Y14781,39.35,32.84,5107.31,0,Industry
Mean Value,Y14781,6.42,6.15,976.81,0,Industry
Random Walk,Y14781,38.25,32.07,4983.25,0,Industry
Arima,Y14781,39.61,33.02,5134.89,0,Industry
Theta,Y14781,18.75,21.82,3282.28,0,Industry
Prophet,Y14781,27.41,24.1,3743.06,0,Industry
Last Value,Y14782,5.25,5.08,2793.6,0,Industry
Mean Value,Y14782,23.84,21.27,11555.66,0,Industry
Random Walk,Y14782,2.2,2.15,700.21,0,Industry
Arima,Y14782,6.76,6.49,3563.14,0,Industry
Theta,Y14782,46.25,37.4,20336.8,0,Industry
Prophet,Y14782,0.58,0.58,305.92,0,Industry
Last Value,Y14783,9.96,10.77,2900.0,0,Industry
Mean Value,Y14783,24.97,22.03,6356.55,0,Industry
Random Walk,Y14783,18.17,20.75,5636.85,0,Industry
Arima,Y14783,11.08,12.04,3254.02,0,Industry
Theta,Y14783,143.13,86.4,24070.0,0,Industry
Prophet,Y14783,11.41,12.47,3267.54,0,Industry
Last Value,Y14784,22.94,20.12,3824.58,0,Industry
Mean Value,Y14784,81.05,57.51,10506.14,0,Industry
Random Walk,Y14784,24.85,21.34,4082.96,0,Industry
Arima,Y14784,12.96,11.99,1993.05,0,Industry
Theta,Y14784,177.7,94.09,17029.66,0,Industry
Prophet,Y14784,10.57,9.96,1497.15,0,Industry
Last Value,Y14785,22.55,19.81,3682.15,0,Industry
Mean Value,Y14785,81.01,57.49,10268.53,0,Industry
Random Walk,Y14785,14.72,13.49,2062.18,0,Industry
Arima,Y14785,12.75,11.82,1942.71,0,Industry
Theta,Y14785,177.35,94.0,16634.01,0,Industry
Prophet,Y14785,10.65,10.03,1474.52,0,Industry
Last Value,Y14786,21.29,24.04,1621.62,0,Industry
Mean Value,Y14786,43.93,56.6,3846.69,0,Industry
Random Walk,Y14786,12.69,14.08,929.51,0,Industry
Arima,Y14786,24.46,28.11,1898.85,0,Industry
Theta,Y14786,77.8,130.66,8925.11,0,Industry
Prophet,Y14786,21.95,24.96,1683.29,0,Industry
Last Value,Y14787,3.33,3.31,1159.1,0,Industry
Mean Value,Y14787,16.25,17.78,6108.24,0,Industry
Random Walk,Y14787,4.74,4.9,1296.03,0,Industry
Arima,Y14787,3.14,3.09,1095.04,0,Industry
Theta,Y14787,40.06,50.3,17366.5,0,Industry
Prophet,Y14787,32.57,27.82,9692.47,0,Industry
Last Value,Y14788,18.89,21.08,6256.4,0,Industry
Mean Value,Y14788,57.59,81.25,24393.01,0,Industry
Random Walk,Y14788,17.98,19.94,5926.32,0,Industry
Arima,Y14788,18.59,20.71,6146.83,0,Industry
Theta,Y14788,82.58,141.99,42653.6,0,Industry
Prophet,Y14788,9.42,9.43,2334.08,0,Industry
Last Value,Y14789,26.17,22.87,6224.7,0,Industry
Mean Value,Y14789,37.44,31.31,8441.74,0,Industry
Random Walk,Y14789,23.21,20.57,5597.35,0,Industry
Arima,Y14789,23.36,20.63,5636.22,0,Industry
Theta,Y14789,118.48,71.35,19272.3,0,Industry
Prophet,Y14789,19.45,17.49,4788.38,0,Industry
Last Value,Y14790,17.19,15.89,3365.64,0,Industry
Mean Value,Y14790,29.56,25.37,5440.36,0,Industry
Random Walk,Y14790,10.69,10.25,2104.44,0,Industry
Arima,Y14790,15.63,14.6,3079.91,0,Industry
Theta,Y14790,96.53,64.63,13580.18,0,Industry
Prophet,Y14790,10.94,10.65,2185.22,0,Industry
Last Value,Y14791,16.72,18.45,3400.0,0,Industry
Mean Value,Y14791,30.57,36.34,6751.72,0,Industry
Random Walk,Y14791,18.64,21.14,3881.92,0,Industry
Arima,Y14791,17.6,19.51,3597.86,0,Industry
Theta,Y14791,65.7,101.17,19000.0,0,Industry
Prophet,Y14791,13.18,14.37,2628.51,0,Industry
Last Value,Y14792,24.48,30.09,4070.4,0,Industry
Mean Value,Y14792,12.06,12.98,1749.92,0,Industry
Random Walk,Y14792,27.11,33.61,4482.38,0,Industry
Arima,Y14792,27.41,34.05,4660.96,0,Industry
Theta,Y14792,76.85,52.9,8412.5,0,Industry
Prophet,Y14792,31.19,38.81,5449.51,0,Industry
Last Value,Y14793,9.04,9.8,5621.0,0,Industry
Mean Value,Y14793,22.63,20.12,12585.69,0,Industry
Random Walk,Y14793,9.05,9.65,5132.57,0,Industry
Arima,Y14793,9.24,10.02,5755.76,0,Industry
Theta,Y14793,22.05,19.68,10613.0,0,Industry
Prophet,Y14793,8.03,8.5,4671.19,0,Industry
Last Value,Y14794,16.41,15.05,1717.1,0,Industry
Mean Value,Y14794,76.88,55.49,6243.56,0,Industry
Random Walk,Y14794,15.44,14.23,1621.53,0,Industry
Arima,Y14794,2.62,2.55,207.31,0,Industry
Theta,Y14794,137.38,81.43,9138.47,0,Industry
Prophet,Y14794,8.35,7.97,471.79,0,Industry
Last Value,Y14795,6.05,6.32,1440.0,0,Industry
Mean Value,Y14795,7.37,7.76,1770.59,0,Industry
Random Walk,Y14795,9.57,9.31,1724.08,0,Industry
Arima,Y14795,13.89,15.05,3474.82,0,Industry
Theta,Y14795,47.05,36.61,8160.0,0,Industry
Prophet,Y14795,11.72,10.89,2606.3,0,Industry
Last Value,Y14796,8.17,7.72,1573.93,0,Industry
Mean Value,Y14796,22.03,19.74,3934.32,0,Industry
Random Walk,Y14796,7.48,7.08,1448.21,0,Industry
Arima,Y14796,7.11,6.75,1372.88,0,Industry
Theta,Y14796,30.59,26.37,5249.96,0,Industry
Prophet,Y14796,5.52,5.31,939.51,0,Industry
Last Value,Y14797,6.41,6.79,468.0,0,Industry
Mean Value,Y14797,7.56,7.32,533.66,0,Industry
Random Walk,Y14797,6.65,7.05,478.74,0,Industry
Arima,Y14797,10.03,10.68,752.86,0,Industry
Theta,Y14797,35.64,30.18,2184.0,0,Industry
Prophet,Y14797,5.3,5.58,363.74,0,Industry
Last Value,Y14798,15.36,17.68,2300.0,0,Industry
Mean Value,Y14798,21.22,25.41,3348.28,0,Industry
Random Walk,Y14798,11.41,10.88,1202.83,0,Industry
Arima,Y14798,17.8,20.85,2724.64,0,Industry
Theta,Y14798,24.41,30.71,3900.0,0,Industry
Prophet,Y14798,13.27,12.64,1952.61,0,Industry
Last Value,Y14799,9.61,9.1,2900.0,0,Industry
Mean Value,Y14799,8.98,9.17,2727.59,0,Industry
Random Walk,Y14799,20.99,18.98,4916.97,0,Industry
Arima,Y14799,9.4,8.95,2838.96,0,Industry
Theta,Y14799,14.24,12.76,2800.0,0,Industry
Prophet,Y14799,28.1,33.46,9561.46,0,Industry
Last Value,Y14800,2.38,2.38,420.0,0,Industry
Mean Value,Y14800,9.64,10.16,1788.28,0,Industry
Random Walk,Y14800,5.65,5.44,636.9,0,Industry
Arima,Y14800,2.44,2.43,429.71,0,Industry
Theta,Y14800,22.06,19.41,3140.0,0,Industry
Prophet,Y14800,10.7,10.1,1801.93,0,Industry
Last Value,Y14801,24.24,21.23,16800.0,0,Industry
Mean Value,Y14801,112.17,71.8,54931.03,0,Industry
Random Walk,Y14801,22.59,19.89,15089.29,0,Industry
Arima,Y14801,4.59,4.58,2812.88,0,Industry
Theta,Y14801,156.49,87.79,66900.0,0,Industry
Prophet,Y14801,44.44,36.27,27885.97,0,Industry
Last Value,Y14802,25.4,21.91,6400.0,0,Industry
Mean Value,Y14802,57.38,44.22,12400.0,0,Industry
Random Walk,Y14802,20.06,17.85,4709.31,0,Industry
Arima,Y14802,26.14,22.52,6557.63,0,Industry
Theta,Y14802,59.61,45.81,12700.0,0,Industry
Prophet,Y14802,33.02,27.98,7961.83,0,Industry
Last Value,Y14803,4.79,4.95,1330.42,0,Industry
Mean Value,Y14803,28.76,25.08,6979.41,0,Industry
Random Walk,Y14803,11.78,10.99,2276.59,0,Industry
Arima,Y14803,9.74,10.47,2808.04,0,Industry
Theta,Y14803,42.51,34.41,9603.2,0,Industry
Prophet,Y14803,16.7,18.58,5050.62,0,Industry
Last Value,Y14804,46.79,36.36,2247.26,0,Industry
Mean Value,Y14804,30.25,39.98,1637.85,0,Industry
Random Walk,Y14804,48.09,36.86,2236.93,0,Industry
Arima,Y14804,52.46,39.51,2448.7,0,Industry
Theta,Y14804,62.39,46.49,2794.57,0,Industry
Prophet,Y14804,28.9,34.58,1534.34,0,Industry
Last Value,Y14805,23.01,23.01,4114.6,0,Industry
Mean Value,Y14805,105.97,68.75,13604.58,0,Industry
Random Walk,Y14805,28.28,26.51,4943.42,0,Industry
Arima,Y14805,23.81,23.54,4250.5,0,Industry
Theta,Y14805,189.56,97.31,18822.79,0,Industry
Prophet,Y14805,37.63,33.1,6408.58,0,Industry
Last Value,Y14806,11.35,12.39,1593.13,0,Industry
Mean Value,Y14806,51.16,69.38,9291.62,0,Industry
Random Walk,Y14806,8.58,8.47,876.82,0,Industry
Arima,Y14806,8.6,9.21,1181.2,0,Industry
Theta,Y14806,49.34,44.45,5618.91,0,Industry
Prophet,Y14806,5.14,5.17,709.4,0,Industry
Last Value,Y14807,5.49,5.32,5211.99,0,Industry
Mean Value,Y14807,107.85,70.06,67978.35,0,Industry
Random Walk,Y14807,16.8,15.19,14786.9,0,Industry
Arima,Y14807,8.6,9.16,8019.15,0,Industry
Theta,Y14807,178.97,94.45,91621.05,0,Industry
Prophet,Y14807,26.32,23.15,22448.19,0,Industry
Last Value,Y14808,12.61,12.51,7389.0,0,Industry
Mean Value,Y14808,16.65,17.46,9766.52,0,Industry
Random Walk,Y14808,18.81,19.22,9376.35,0,Industry
Arima,Y14808,12.19,11.85,7148.99,0,Industry
Theta,Y14808,121.3,74.97,42447.0,0,Industry
Prophet,Y14808,37.26,47.35,24796.55,0,Industry
Last Value,Y14809,40.34,33.53,4842.71,0,Industry
Mean Value,Y14809,43.19,35.48,5124.3,0,Industry
Random Walk,Y14809,52.67,41.25,5962.25,0,Industry
Arima,Y14809,34.42,29.32,4237.93,0,Industry
Theta,Y14809,38.62,29.77,4357.38,0,Industry
Prophet,Y14809,37.85,31.79,4591.56,0,Industry
Last Value,Y14810,16.36,15.06,1118.36,0,Industry
Mean Value,Y14810,12.51,11.97,870.9,0,Industry
Random Walk,Y14810,8.21,8.17,537.97,0,Industry
Arima,Y14810,8.88,8.94,624.08,0,Industry
Theta,Y14810,18.63,22.45,1445.43,0,Industry
Prophet,Y14810,20.88,24.1,1608.54,0,Industry
Last Value,Y14811,20.69,23.56,3750.0,0,Industry
Mean Value,Y14811,36.0,44.51,7187.65,0,Industry
Random Walk,Y14811,19.28,15.91,2586.56,0,Industry
Arima,Y14811,21.09,24.07,3833.39,0,Industry
Theta,Y14811,130.19,158.29,24570.0,0,Industry
Prophet,Y14811,28.87,25.0,3816.08,0,Industry
Last Value,Y14812,18.3,16.56,2892.0,0,Industry
Mean Value,Y14812,72.74,53.26,9098.9,0,Industry
Random Walk,Y14812,22.14,19.49,3421.79,0,Industry
Arima,Y14812,3.13,3.06,339.54,0,Industry
Theta,Y14812,110.54,71.17,12084.0,0,Industry
Prophet,Y14812,13.51,12.64,1527.87,0,Industry
Last Value,Y14813,7.33,7.04,3924.82,0,Industry
Mean Value,Y14813,90.97,62.49,34092.12,0,Industry
Random Walk,Y14813,9.19,8.56,4838.34,0,Industry
Arima,Y14813,12.01,12.88,5400.84,0,Industry
Theta,Y14813,163.92,90.08,49060.08,0,Industry
Prophet,Y14813,22.82,20.45,11161.01,0,Industry
Last Value,Y14814,12.8,11.8,7807.39,0,Industry
Mean Value,Y14814,72.77,53.27,34001.88,0,Industry
Random Walk,Y14814,6.12,5.88,3693.43,0,Industry
Arima,Y14814,9.1,8.5,5610.19,0,Industry
Theta,Y14814,108.72,70.33,44839.85,0,Industry
Prophet,Y14814,31.87,27.42,17566.0,0,Industry
Last Value,Y14815,47.11,64.08,16200.0,0,Industry
Mean Value,Y14815,53.92,76.54,19482.35,0,Industry
Random Walk,Y14815,49.45,68.17,17296.17,0,Industry
Arima,Y14815,44.59,59.71,15057.98,0,Industry
Theta,Y14815,94.01,189.02,48600.0,0,Industry
Prophet,Y14815,38.17,49.14,12325.01,0,Industry
Last Value,Y14816,5.09,5.28,1698.66,0,Industry
Mean Value,Y14816,5.63,5.85,1886.64,0,Industry
Random Walk,Y14816,7.75,7.32,2040.87,0,Industry
Arima,Y14816,6.48,6.77,2184.76,0,Industry
Theta,Y14816,93.52,61.82,20160.96,0,Industry
Prophet,Y14816,32.16,38.58,12596.46,0,Industry
Last Value,Y14817,6.83,6.58,1870.8,0,Industry
Mean Value,Y14817,60.98,46.72,13184.71,0,Industry
Random Walk,Y14817,28.38,24.14,6882.33,0,Industry
Arima,Y14817,3.62,3.73,995.73,0,Industry
Theta,Y14817,90.17,61.84,17403.0,0,Industry
Prophet,Y14817,5.46,5.73,1568.34,0,Industry
Last Value,Y14818,14.0,15.36,3498.0,0,Industry
Mean Value,Y14818,43.83,56.62,13211.38,0,Industry
Random Walk,Y14818,18.3,20.76,4732.3,0,Industry
Arima,Y14818,27.38,32.35,7480.31,0,Industry
Theta,Y14818,67.19,103.0,24054.0,0,Industry
Prophet,Y14818,22.53,25.7,5950.94,0,Industry
Last Value,Y14819,6.7,7.0,1266.1,0,Industry
Mean Value,Y14819,6.57,6.84,1241.25,0,Industry
Random Walk,Y14819,9.23,9.93,1791.71,0,Industry
Arima,Y14819,6.66,6.95,1259.13,0,Industry
Theta,Y14819,33.4,28.02,5359.6,0,Industry
Prophet,Y14819,9.35,10.11,1807.58,0,Industry
Last Value,Y14820,12.06,12.78,949.5,0,Industry
Mean Value,Y14820,13.31,12.33,1005.42,0,Industry
Random Walk,Y14820,11.55,12.0,911.64,0,Industry
Arima,Y14820,14.65,15.94,1168.37,0,Industry
Theta,Y14820,13.39,12.05,970.2,0,Industry
Prophet,Y14820,20.77,23.89,1727.31,0,Industry
Last Value,Y14821,13.78,13.17,2089.0,0,Industry
Mean Value,Y14821,22.06,19.49,3221.52,0,Industry
Random Walk,Y14821,14.25,13.5,2142.37,0,Industry
Arima,Y14821,14.76,13.95,2228.89,0,Industry
Theta,Y14821,88.19,60.76,9756.38,0,Industry
Prophet,Y14821,8.2,8.3,1251.13,0,Industry
Last Value,Y14822,54.89,41.93,15424.92,0,Industry
Mean Value,Y14822,148.8,85.21,29674.07,0,Industry
Random Walk,Y14822,53.7,41.38,15126.24,0,Industry
Arima,Y14822,17.22,15.51,3779.73,0,Industry
Theta,Y14822,192.16,97.98,33941.16,0,Industry
Prophet,Y14822,89.91,61.7,21762.83,0,Industry
Last Value,Y14823,4.76,4.86,748.0,0,Industry
Mean Value,Y14823,32.12,38.45,5950.75,0,Industry
Random Walk,Y14823,5.77,5.65,760.96,0,Industry
