model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Last Value,Y46,4.35,4.25,1640,0,Macro
Mean Value,Y46,95.42,64.58,24430.12,0,Macro
Random Walk,Y46,10.17,10.75,3753.62,0,Macro
Arima,Y46,12.18,13.53,4930.18,0,Macro
Theta,Y46,173.24,92.83,35085,0,Macro
Prophet,Y46,162.4,89.62,33867.7,0,Macro
Last Value,Y47,4.34,4.25,1640,0,Macro
Mean Value,Y47,95.4,64.57,24452.47,0,Macro
Random Walk,Y47,9.64,10.18,3759.99,0,Macro
Arima,Y47,12.29,13.66,4984.91,0,Macro
Theta,Y47,173.07,92.78,35104,0,Macro
Prophet,Y47,162.45,89.63,33908.6,0,Macro
Last Value,Y48,16.37,17.92,6140,0,Macro
Mean Value,Y48,14.94,16.24,5559.26,0,Macro
Random Walk,Y48,19.2,21.59,7374.52,0,Macro
Arima,Y48,15.45,16.85,5766.66,0,Macro
Theta,Y48,62.27,47.45,16450,0,Macro
Prophet,Y48,44.7,58.02,19932.06,0,Macro
Last Value,Y49,1.89,1.91,279.5,0,Macro
Mean Value,Y49,43.85,35.96,5287.63,0,Macro
Random Walk,Y49,3.05,2.93,391.97,0,Macro
Arima,Y49,1.94,1.96,287.27,0,Macro
Theta,Y49,141.49,82.85,12180.7,0,Macro
Prophet,Y49,73.74,53.77,7906.69,0,Macro
Last Value,Y50,1.98,2,2166,0,Macro
Mean Value,Y50,63.79,48.36,52560.07,0,Macro
Random Walk,Y50,14.84,13.35,14510.04,0,Macro
Arima,Y50,5.04,5.19,5633.44,0,Macro
Theta,Y50,144.97,84.04,91329,0,Macro
Prophet,Y50,91.91,62.77,68240.69,0,Macro
Last Value,Y51,3.89,3.97,1861,0,Macro
Mean Value,Y51,55.37,43.36,20399.15,0,Macro
Random Walk,Y51,6.09,5.87,2745.58,0,Macro
Arima,Y51,3.83,3.92,1834.75,0,Macro
Theta,Y51,130.27,78.87,37100,0,Macro
Prophet,Y51,75.99,54.87,25833.32,0,Macro
Last Value,Y52,32.2,27.02,40589,0,Macro
Mean Value,Y52,124.62,76.68,109219.65,0,Macro
Random Walk,Y52,19.16,17.3,12146.92,0,Macro
Arima,Y52,2.8,2.75,4225.3,0,Macro
Theta,Y52,183.5,95.7,135428,0,Macro
Prophet,Y52,171.74,92.37,131052.6,0,Macro
Last Value,Y53,10.41,11.46,10601,0,Macro
Mean Value,Y53,132.15,79.51,83321.29,0,Macro
Random Walk,Y53,15.32,14.26,8458.56,0,Macro
Arima,Y53,68.81,125.18,120105.02,0,Macro
Theta,Y53,177.83,94.12,98334,0,Macro
Prophet,Y53,179.68,94.65,98765.29,0,Macro
Last Value,Y54,33.67,27.69,21893,0,Macro
Mean Value,Y54,135.85,80.79,58635.41,0,Macro
Random Walk,Y54,24.88,21.39,14783.77,0,Macro
Arima,Y54,8.36,7.73,5655.49,0,Macro
Theta,Y54,185.43,96.22,69260,0,Macro
Prophet,Y54,181.29,95.07,68607.26,0,Macro
Last Value,Y55,34.2,28.36,6709.28,0,Macro
Mean Value,Y55,135.22,80.59,17916.87,0,Macro
Random Walk,Y55,25.41,22.02,4489.63,0,Macro
Arima,Y55,2.07,2.04,505.95,0,Macro
Theta,Y55,184.78,96.04,21227.21,0,Macro
Prophet,Y55,179.91,94.69,20966.68,0,Macro
Last Value,Y56,51.42,39.55,51010,0,Macro
Mean Value,Y56,156.21,87.63,104349.47,0,Macro
Random Walk,Y56,50.3,38.69,50240.59,0,Macro
Arima,Y56,7.17,6.73,8567.03,0,Macro
Theta,Y56,194.18,98.52,116398,0,Macro
Prophet,Y56,197.69,99.49,117656.5,0,Macro
Last Value,Y57,12.31,11.51,1605,0,Macro
Mean Value,Y57,91.33,62.68,8613.48,0,Macro
Random Walk,Y57,21.65,19.08,2673.11,0,Macro
Arima,Y57,10.02,10.71,915.6,0,Macro
Theta,Y57,147.08,84.75,11632.8,0,Macro
Prophet,Y57,128.44,78.19,10742.97,0,Macro
Last Value,Y58,10.84,10.24,6914.9,0,Macro
Mean Value,Y58,50.94,40.57,27191.63,0,Macro
Random Walk,Y58,10.13,9.59,6478.99,0,Macro
Arima,Y58,8.4,8.03,5421.33,0,Macro
Theta,Y58,114.98,73.01,48855.2,0,Macro
Prophet,Y58,16.75,15.42,10369.25,0,Macro
Last Value,Y59,4.49,4.38,2765.8,0,Macro
Mean Value,Y59,77.03,55.61,34910.86,0,Macro
Random Walk,Y59,15.54,14.13,8947.65,0,Macro
Arima,Y59,4.45,4.34,2741.61,0,Macro
Theta,Y59,160.81,89.1,55945.9,0,Macro
Prophet,Y59,138.28,81.56,51192.57,0,Macro
Last Value,Y60,6.19,5.97,3860,0,Macro
Mean Value,Y60,41.96,34.67,22169,0,Macro
Random Walk,Y60,4.78,4.5,2925.03,0,Macro
Arima,Y60,11.24,10.54,6807.42,0,Macro
Theta,Y60,79.32,56.69,36137.3,0,Macro
Prophet,Y60,3.81,3.89,1872.04,0,Macro
Last Value,Y61,16.78,15.39,11079.4,0,Macro
Mean Value,Y61,84.76,59.5,42363.29,0,Macro
Random Walk,Y61,17.34,15.82,11401,0,Macro
Arima,Y61,18.4,16.75,12053.15,0,Macro
Theta,Y61,181.24,101.32,72406.3,0,Macro
Prophet,Y61,144.9,83.89,59620.82,0,Macro
Last Value,Y62,44.28,34.41,37693.5,0,Macro
Mean Value,Y62,108.06,69.63,69915.74,0,Macro
Random Walk,Y62,53.07,39.57,43174.24,0,Macro
Arima,Y62,47.73,36.79,39878.72,0,Macro
Theta,Y62,153.77,86.63,85703.4,0,Macro
Prophet,Y62,154.31,87.03,85592.87,0,Macro
Last Value,Y63,16.01,14.75,10509,0,Macro
Mean Value,Y63,105.86,69.21,48837.85,0,Macro
Random Walk,Y63,13.79,12.81,9108.25,0,Macro
Arima,Y63,6.68,6.42,2749.25,0,Macro
Theta,Y63,164.96,90.4,63747,0,Macro
